"tpep_pickup_datetime","tpep_dropoff_datetime"
"2015-01-15 19:05:39","2015-01-15 19:23:42"
"2015-01-10 20:33:38","2015-01-10 20:53:28"
"2015-01-10 20:33:38","2015-01-10 20:43:41"
"2015-01-10 20:33:39","2015-01-10 20:35:31"
"2015-01-10 20:33:39","2015-01-10 20:52:58"
"2015-01-10 20:33:39","2015-01-10 20:53:52"
"2015-01-10 20:33:39","2015-01-10 20:58:31"
"2015-01-10 20:33:39","2015-01-10 20:42:20"
"2015-01-10 20:33:39","2015-01-10 21:11:35"
"2015-01-10 20:33:40","2015-01-10 20:40:44"
"2015-01-10 20:33:40","2015-01-10 20:41:39"
"2015-01-10 20:33:41","2015-01-10 20:43:26"
"2015-01-10 20:33:41","2015-01-10 20:35:23"
"2015-01-10 20:33:41","2015-01-10 21:03:04"
"2015-01-10 20:33:41","2015-01-10 20:39:23"
"2015-01-15 19:05:39","2015-01-15 19:32:00"
"2015-01-15 19:05:40","2015-01-15 19:21:00"
"2015-01-15 19:05:40","2015-01-15 19:28:18"
"2015-01-15 19:05:41","2015-01-15 19:20:36"
"2015-01-15 19:05:41","2015-01-15 19:20:22"
"2015-01-15 19:05:41","2015-01-15 19:31:00"
"2015-01-15 19:05:41","2015-01-15 19:10:22"
"2015-01-15 19:05:41","2015-01-15 19:10:55"
"2015-01-15 19:05:41","2015-01-15 19:12:36"
"2015-01-15 19:05:41","2015-01-15 19:22:11"
"2015-01-15 19:05:41","2015-01-15 19:14:05"
"2015-01-15 19:05:42","2015-01-15 19:16:18"
"2015-01-15 19:05:42","2015-01-15 19:49:07"
"2015-01-15 19:05:42","2015-01-15 19:18:33"
"2015-01-15 19:05:42","2015-01-15 19:21:40"
"2015-01-15 19:05:42","2015-01-15 19:14:23"
"2015-01-15 19:05:43","2015-01-15 19:05:44"
"2015-01-15 19:05:43","2015-01-15 19:17:43"
"2015-01-15 19:05:43","2015-01-15 19:15:17"
"2015-01-15 19:05:43","2015-01-15 19:15:09"
"2015-01-15 19:05:44","2015-01-15 19:17:44"
"2015-01-10 19:12:21","2015-01-10 19:31:33"
"2015-01-10 19:12:21","2015-01-10 19:46:08"
"2015-01-25 00:13:04","2015-01-25 00:13:18"
"2015-01-25 00:13:05","2015-01-25 00:29:11"
"2015-01-25 00:13:05","2015-01-25 00:25:43"
"2015-01-25 00:13:05","2015-01-25 00:25:50"
"2015-01-25 00:13:06","2015-01-25 00:23:26"
"2015-01-25 00:13:06","2015-01-25 00:24:51"
"2015-01-25 00:13:06","2015-01-25 00:22:20"
"2015-01-25 00:13:06","2015-01-25 00:18:30"
"2015-01-25 00:13:06","2015-01-25 00:21:15"
"2015-01-25 00:13:06","2015-01-25 00:34:32"
"2015-01-25 00:13:07","2015-01-25 00:27:08"
"2015-01-25 00:13:07","2015-01-25 00:15:39"
"2015-01-25 00:13:07","2015-01-25 00:24:59"
"2015-01-25 00:13:07","2015-01-25 00:41:19"
"2015-01-25 00:13:08","2015-01-25 00:34:57"
"2015-01-25 00:13:08","2015-01-25 00:18:57"
"2015-01-25 00:13:09","2015-01-25 00:21:38"
"2015-01-25 00:13:09","2015-01-25 00:22:51"
"2015-01-25 00:13:09","2015-01-25 00:20:30"
"2015-01-25 00:13:09","2015-01-25 00:24:28"
"2015-01-25 00:13:09","2015-01-25 01:02:40"
"2015-01-04 13:44:51","2015-01-04 13:53:27"
"2015-01-04 13:44:51","2015-01-04 13:45:03"
"2015-01-04 13:44:52","2015-01-04 13:56:49"
"2015-01-04 13:44:52","2015-01-04 13:46:38"
"2015-01-04 13:44:52","2015-01-04 13:56:58"
"2015-01-04 13:44:52","2015-01-04 13:53:17"
"2015-01-04 13:44:52","2015-01-04 14:04:23"
"2015-01-04 13:44:52","2015-01-04 13:49:03"
"2015-01-04 13:44:53","2015-01-04 13:49:40"
"2015-01-04 13:44:53","2015-01-04 13:51:53"
"2015-01-04 13:44:53","2015-01-04 13:55:07"
"2015-01-04 13:44:53","2015-01-04 13:51:26"
"2015-01-04 13:44:54","2015-01-04 13:53:36"
"2015-01-04 13:44:54","2015-01-04 13:50:29"
"2015-01-04 13:44:54","2015-01-04 13:47:15"
"2015-01-04 13:44:54","2015-01-04 14:02:23"
"2015-01-04 13:44:54","2015-01-04 13:53:15"
"2015-01-15 14:00:41","2015-01-15 14:11:18"
"2015-01-15 14:00:41","2015-01-15 14:19:26"
"2015-01-15 14:00:41","2015-01-15 14:31:42"
"2015-01-15 14:00:41","2015-01-15 14:13:48"
"2015-01-15 14:00:42","2015-01-15 14:05:01"
"2015-01-15 14:00:42","2015-01-15 14:20:40"
"2015-01-15 14:00:42","2015-01-15 14:05:16"
"2015-01-15 14:00:43","2015-01-15 14:58:40"
"2015-01-15 14:00:43","2015-01-15 14:41:50"
"2015-01-15 14:00:44","2015-01-15 14:04:55"
"2015-01-15 14:00:44","2015-01-15 14:04:06"
"2015-01-15 14:00:45","2015-01-15 14:05:40"
"2015-01-15 14:00:45","2015-01-15 14:39:09"
"2015-01-15 14:00:45","2015-01-15 14:10:24"
"2015-01-15 14:00:45","2015-01-15 14:16:31"
"2015-01-15 14:00:45","2015-01-15 14:47:12"
"2015-01-15 14:00:46","2015-01-15 14:41:54"
"2015-01-15 14:00:46","2015-01-15 14:33:02"
"2015-01-15 14:00:46","2015-01-15 14:10:09"
"2015-01-15 14:00:46","2015-01-15 14:14:51"
"2015-01-15 14:00:47","2015-01-15 14:16:01"
"2015-01-15 14:00:47","2015-01-15 14:23:36"
"2015-01-26 12:41:08","2015-01-26 12:48:47"
